scheme,operation,input_size,cache_policy,mean_ms,ci95_halfwidth_ms,median_batch_ms,process_sd_ms,samples,processes
primitive,pairing,1,unprepared,0.6673441131746032,0.002538835197222068,0.6671145666666667,0.0010220187009456778,30,3
primitive,pairing_product,2,prepared_g2,0.5838625900735294,0.0027438076759771285,0.5836064999999999,0.0011045312274365964,30,3
primitive,pairing_product,2,unprepared,0.7219747461538462,0.005610989883084612,0.7214771153846155,0.002258727387112037,30,3
product,certify_recover_first_serve,768,verified_header,56.18976696666667,0.005439269711248143,56.188295,0.002189600715503535,30,3
product,collector_batch_mixed,82,verified_header,3522.635722,2.55668332115318,3522.482308,1.029203537698513,3,3
product,collector_batch_source,82,verified_header,3443.6985173333333,1.7434854528120887,3443.884581,0.7018473430454966,3,3
product,collector_streaming,82,verified_header,103332.707846,169.70695347742966,103306.959568,68.31624215869904,3,3
product,derive_all_parity,41,none,80.106408,0.10676311037898081,80.09261599999999,0.042977935510676614,30,3
product,derive_parity,82,none,1.9265072866666668,0.002020523496316317,1.9248771000000002,0.0008133701632917756,30,3
product,derive_source,82,none,4.147513333333333e-06,3.17873410766924e-07,3.92045e-06,1.2796126770758939e-07,30,3
product,encode_commit_total,125952,public_parameters,925.0671601666667,3.5125303851972505,924.583799,1.4139837612301365,30,3
product,full_group_open,768,local_coefficients,13.300061066666666,0.08452589343763452,13.2879535,0.03402625105478553,30,3
product,full_group_verify,768,parsed,46.446987899999996,0.06582921224961678,46.4269385,0.026499824037907366,30,3
product,group_certify,768,verified_header,43.993453466666665,0.15009924297376612,44.0005985,0.06042307648989162,30,3
product,group_certify_random,768,verified_header,43.89539646666667,0.06962159580262695,43.913368500000004,0.028026463859419256,30,3
product,group_recover_evaluate,1024,certified_coefficients,0.09603723612471655,0.0011886392473214249,0.09589343,0.0004784916881449053,30,3
product,header_commit,82,public_srs,869.584109,5.72421430738187,868.41458,2.3043063514978397,30,3
product,header_parse_verify,82,cold,3.6803751333333334,0.014976762908448436,3.67897275,0.006028958393523107,30,3
product,inner_evaluate_all,123,public_powers,14.641572433333334,0.7735336827995546,14.500211,0.3113892112798597,30,3
product,inner_fft,1024,none,0.09786335460171165,0.0009218502734898112,0.09783617346938775,0.0003710946736556002,30,3
product,light_client,218,cold,414.58088023333335,8.629419340141158,413.3287335,3.4738087582748887,30,3
product,light_client,218,warm,345.2018539,2.1687183113013724,345.05924100000004,0.8730266043493257,30,3
product,light_client,991,cold,1652.3838975333333,4.678878178756529,1651.66214,1.8835019316606556,30,3
product,light_client,991,warm,1569.1908753,1.5752345800498517,1569.001581,0.6341172522536297,30,3
product,local_interpolate,768,none,31.2595038,0.03269753515275862,31.256393000000003,0.013162529193510712,30,3
product,message_prepare,62976,none,0.0727488984486039,0.007815989317329769,0.07316090058980212,0.0031463591088712797,30,3
product,open,1,local_coefficients,10.595742766666666,0.06713290432466988,10.590402000000001,0.0270246307218689,30,3
product,open,2,local_coefficients,10.629474266666668,0.02893611105308761,10.626302500000001,0.011648352229106797,30,3
product,open,8,local_coefficients,10.706841666666667,0.05130751019616502,10.7082195,0.02065405229012787,30,3
product,open,32,local_coefficients,11.068994633333332,0.047812653582713874,11.068911,0.019247183179451077,30,3
product,open,128,local_coefficients,13.0030276,0.003682953191071955,13.000734000000001,0.0014825881727579746,30,3
product,outer_combine,123,public_weights,39.830344833333335,0.28804608023987166,39.811529,0.11595415136097091,30,3
product,serve_new_point,1,certified_coefficients,10.594921066666666,0.042793288458222896,10.593836,0.01722661680723546,30,3
product,verify,1,parsed,1.4609820111111111,0.01249298036872243,1.4597094166666666,0.005029101369538305,30,3
product,verify,2,parsed,1.703149,0.010372765881327888,1.7015766,0.004175600181866043,30,3
product,verify,8,parsed,2.6443470666666666,0.018271202822641653,2.6447323333333332,0.007355148925752773,30,3
product,verify,32,parsed,5.783352266666667,0.02466489466092347,5.776192,0.0099289562504494,30,3
product,verify,128,parsed,13.620307433333334,0.02520588196137199,13.6175635,0.010146732945304377,30,3
